Date,Open,High,Low,Close,Volume
2015-04-28,110.34,110.55,109.11,110.04,36849200
2015-04-29,109.43,110.07,108.75,109.35,34043900
2015-04-30,108.73,109.17,107.06,107.63,44080500
2015-05-01,108.05,109.12,108.03,109.05,32874300
2015-05-04,109.4,109.91,109.17,109.23,23507300
2015-05-05,108.8,109.0,107.4,107.45,47843300
2015-05-06,107.64,107.95,106.0,106.71,42687200
2015-05-07,106.68,107.65,106.6,107.35,29335800
2015-05-08,108.46,108.92,108.3,108.69,33023300
2015-05-11,108.76,108.98,108.19,108.27,19679300
2015-05-12,107.63,108.33,106.8,107.78,33665000
2015-05-13,108.25,108.81,107.84,108.0,20738400
2015-05-14,108.88,109.67,108.48,109.58,23904200
2015-05-15,109.86,110.01,109.31,109.58,23937400
2015-05-18,109.4,110.28,109.32,110.06,17631100
2015-05-19,110.18,110.35,109.76,109.94,14212900
2015-05-20,110.02,110.67,109.43,110.01,21131900
2015-05-21,109.82,110.73,109.66,110.58,16771800
2015-05-22,110.45,110.87,110.38,110.47,13543800
2015-05-26,110.23,110.38,108.76,109.2,25488400
2015-05-27,109.53,111.08,109.29,110.96,30572700
2015-05-28,110.75,111.01,110.37,110.71,17302400
2015-05-29,110.64,110.79,109.79,110.05,30383000
2015-06-01,110.64,110.72,109.52,110.42,24570200
2015-06-02,110.01,110.61,109.47,110.07,19449600
2015-06-03,110.57,110.81,110.13,110.4,20507200
2015-06-04,109.78,110.48,109.21,109.56,31374600
2015-06-05,109.43,109.69,108.63,109.3,22641700
2015-06-08,109.25,109.33,107.97,108.19,24549200
2015-06-09,107.93,108.4,107.2,108.01,27554600
2015-06-10,108.38,109.81,108.26,109.49,30297900
2015-06-11,109.86,110.15,109.46,109.65,17593500
2015-06-12,109.07,109.3,108.6,108.75,27201800
2015-06-15,107.94,108.38,107.31,108.21,31238800
2015-06-16,108.1,108.98,108.05,108.8,16456900
2015-06-17,108.98,109.45,108.43,109.1,23296700
2015-06-18,109.5,110.88,109.44,110.69,43032400
2015-06-19,110.49,110.58,109.81,109.89,27877600
2015-06-22,110.7,111.03,110.45,110.7,19120900
2015-06-23,110.82,110.89,110.33,110.79,18127900
2015-06-24,110.66,111.13,110.19,110.22,15815900
2015-06-25,110.65,110.76,109.82,110.0,18326700
2015-06-26,109.98,110.23,108.86,109.27,32311700
2015-06-29,108.06,108.66,106.64,106.69,50874900
2015-06-30,107.49,107.72,106.74,107.07,34809900
2015-07-01,108.13,108.35,107.42,107.92,21293000
2015-07-02,108.23,108.32,107.62,107.95,20499400
2015-07-06,107.27,108.32,107.04,107.7,24311000
2015-07-07,107.82,108.07,105.83,107.97,44230800
2015-07-08,107.2,107.33,105.89,106.09,39691500
2015-07-09,107.5,107.6,106.02,106.03,28381000
2015-07-10,107.44,108.05,107.05,107.65,26415800
2015-07-13,108.58,109.63,108.57,109.54,25780700
2015-07-14,109.69,110.56,109.63,110.26,21977200
2015-07-15,110.47,110.81,110.07,110.38,28631500
2015-07-16,111.29,111.96,111.07,111.94,29838900
2015-07-17,112.84,113.59,112.65,113.59,35926800
2015-07-20,113.83,114.39,113.48,113.98,26539000
2015-07-21,114.02,114.2,113.58,113.91,35468900
2015-07-22,112.17,113.17,112.17,112.62,35575000
2015-07-23,112.73,113.1,111.91,112.2,25698300
2015-07-24,112.8,113.0,110.93,111.1,30844700
2015-07-27,110.47,110.95,109.94,110.18,35994800
2015-07-28,110.67,111.35,109.79,111.13,33553500
2015-07-29,111.37,111.79,110.94,111.55,26714100
2015-07-30,111.29,112.27,110.62,112.08,25438100
2015-07-31,112.43,112.49,111.72,111.95,22081700
2015-08-03,111.97,112.28,110.86,111.6,25001800
2015-08-04,111.55,111.75,110.93,111.39,22132300
2015-08-05,112.01,113.0,111.88,112.25,28989900
2015-08-06,112.35,112.5,109.95,110.45,42125400
2015-08-07,110.18,110.57,109.4,110.31,30006800
2015-08-10,111.01,111.81,111.0,111.57,21500800
2015-08-11,110.98,111.41,109.53,110.14,36123300
2015-08-12,109.38,110.74,108.22,110.52,41889000
2015-08-13,110.63,111.16,110.1,110.34,22510500
2015-08-14,110.08,110.67,109.86,110.51,17924900
2015-08-17,110.24,111.46,109.96,111.43,21224900
2015-08-18,111.28,111.37,110.71,110.86,13984400
2015-08-19,110.52,111.11,109.49,110.13,42511400
2015-08-20,109.11,109.46,107.07,107.08,57747300
2015-08-21,105.57,106.47,102.4,102.4,97763400
2015-08-24,94.23,102.53,84.74,98.46,150829900
2015-08-25,102.07,102.74,98.01,98.09,75088300
2015-08-26,100.96,103.23,98.93,103.03,104103800
2015-08-27,104.52,105.71,103.28,105.64,69377700
2015-08-28,105.08,106.0,104.85,105.62,49919600
2015-08-31,105.03,105.61,104.05,104.31,39549400
2015-09-01,101.71,103.29,100.63,101.05,73155500
2015-09-02,102.88,103.92,101.7,103.9,43963600
2015-09-03,104.31,105.02,103.1,103.39,45131800
2015-09-04,101.97,102.85,101.59,102.16,49379600
2015-09-08,104.12,105.17,103.69,105.04,37343500
2015-09-09,106.28,106.31,103.59,103.86,47146700
2015-09-10,103.74,105.68,103.62,104.99,47686700
2015-09-11,104.51,105.57,104.21,105.57,29106100
2015-09-14,105.96,105.98,104.85,105.25,19718800
2015-09-15,105.5,106.82,105.11,106.49,30020200
2015-09-16,106.51,107.19,106.14,107.09,31329100
2015-09-17,106.98,108.73,106.64,107.13,56139800
2015-09-18,105.23,106.6,105.17,105.35,48384000
2015-09-21,105.93,106.55,104.73,105.68,35772600
2015-09-22,104.06,104.42,103.13,104.1,47359700
2015-09-23,104.38,104.66,103.64,104.18,21775100
2015-09-24,103.17,104.19,102.27,103.8,38284300
2015-09-25,104.91,105.01,102.28,102.92,44700000
2015-09-28,102.48,102.55,99.69,99.99,44077500
2015-09-29,100.24,101.26,98.75,99.47,49315500
2015-09-30,100.89,101.87,100.5,101.76,41411400
2015-10-01,101.94,102.23,100.59,102.22,39339100
2015-10-02,100.8,104.01,100.48,104.01,59370900
